rollout/ep_len_mean,short_std,short_mean,time/iterations,return_std,long_mean,return_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,long_std,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl,train/n_updates,train/loss
20.0,0.23148286,0.2472293,15,0.6895937,-0.40070343,1.0891522,63,482,2.4867647,2.0720003,30720,-0.0050505152030382305,0.000927734375,0.07269505860749632,1e-05,0.8090680837631226,0.2,-3.489853447675705,0.0024408377,140,0.009344665333628654
20.0,0.17460035,0.207293,16,0.7062266,-0.4067874,1.0883839,63,514,2.4932353,2.0431542,32768,-0.005635486790561117,0.0,0.07155878655030393,1e-05,0.814353421330452,0.2,-3.473158397525549,0.0025464776,150,-0.0005817953497171402
20.0,0.24103117,0.23238775,17,0.68095636,-0.39675155,1.0576749,63,547,2.3852941100000002,1.9827785,34816,-0.005583475658204407,0.0,0.08143950076773762,1e-05,0.8067392408847809,0.2,-3.45010257139802,0.0030162428,160,0.0003710854798555374
20.0,0.1990199,0.23298202,18,0.6997408,-0.40444303,1.1257975,63,580,2.51764702,2.0275228,36864,-0.005592582677491009,0.001904296875,0.07856134769390337,1e-05,0.7945440709590912,0.2,-3.421167677640915,0.0033082382,170,0.022941667586565018
20.0,0.19692017,0.23840895,19,0.7249099,-0.39033422,1.168254,63,613,2.66029409,2.0569165,38912,-0.004307849316683132,0.0,0.07465864926343783,1e-05,0.813721239566803,0.2,-3.398052601516247,0.0023464698,180,0.03269253671169281
20.0,0.23963515,0.2619747,20,0.76220304,-0.38934928,1.192445,63,643,2.69411762,1.9422681,40960,-0.004923346730356571,0.0,0.08139259307063185,1e-05,0.8097816407680511,0.2,-3.3734513774514197,0.0027102428,190,0.018663495779037476
20.0,0.2017268,0.24183282,21,0.6872309,-0.38114765,1.1339332,63,674,2.56558826,1.9204154,43008,-0.003923211569781415,0.0,0.08315622748341411,1e-05,0.8151787668466568,0.2,-3.344700296223164,0.0022386136,200,0.01933395490050316
20.0,0.20865528,0.25679418,22,0.7062804,-0.39347145,1.0953958,63,705,2.52705875,1.9723017,45056,-0.004822384472936392,0.0,0.0661148594575934,1e-05,0.8250419795513153,0.2,-3.3195128321647642,0.0027257588,210,0.030784476548433304
20.0,0.24081798,0.27282354,23,0.70590234,-0.41169342,1.1243732,64,735,2.5705882200000003,2.0074604,47104,-0.0030228231713408603,0.0,0.07515614205040037,1e-05,0.8117076307535172,0.2,-3.302881155908108,0.0016126932,220,0.02178407460451126
20.0,0.27610338,0.27800736,24,0.72197026,-0.39058444,1.1587111,64,766,2.6420588400000002,1.9280282,49152,-0.0025874225771985947,0.0,0.07624005690449849,1e-05,0.8187724500894547,0.2,-3.301656173169613,0.0011934777,230,0.03507540374994278
