long_std,time/total_timesteps,return_mean,short_std,time/fps,return_std,time/iterations,time/time_elapsed,long_mean,rollout/ep_len_mean,rollout/ep_rew_mean,short_mean,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/clip_range,train/policy_gradient_loss
0.18499354,428000,21.153835,0.07286893,97,2.9407585,214,4404,0.004569142,2000.0,420.42,0.049415488,2.3378078937530518,6.480092502385378,1e-05,-0.017279104630142685,7.315524e-05,2130,0.028491675853729248,0.000341796875,0.2,-1.1491880286484957e-05
0.17995486,430000,21.077261,0.09192259,97,2.8574893,215,4425,0.0023498537,2000.0,419.93,0.16104966,1.7107282876968384,8.085146352648735,1e-05,-0.015894413464411627,0.00011652557,2140,0.03552168607711792,0.000537109375,0.2,8.8201675680466e-06
0.18430741,432000,20.829868,0.05825439,97,2.7014148,216,4445,0.002514729,2000.0,420.48,0.041729495,1.892430067062378,7.923611890524626,1e-05,-0.01736801381339319,2.5036657e-05,2150,0.020496487617492676,0.000390625,0.2,-2.3646949557587505e-06
0.18618985,434000,20.600119,0.07121748,97,2.7546892,217,4466,0.0012851792,2000.0,420.34,0.06460907,6.766624450683594,6.613874118775129,1e-05,-0.019206219408806645,8.046007e-05,2160,0.09178954362869263,0.001171875,0.2,-0.00019264978618593886
0.1891574,436000,20.26479,0.05786773,97,2.7371104,218,4486,0.0041561415,2000.0,419.48,0.053081237,3.8950796127319336,7.386313998699189,1e-05,-0.01866070261457935,1.6271311e-05,2170,0.020961105823516846,0.0,0.2,-3.384944429853931e-05
0.1848017,438000,20.616259,0.08573149,97,2.561433,219,4507,0.0018360999,2000.0,420.38,0.08296387,3.4624269008636475,7.5404997482895855,1e-05,-0.01571063207811676,3.8390892e-05,2180,-0.016183018684387207,9.765625e-05,0.2,-5.541299760807306e-05
0.18441169,440000,19.938,0.06210438,97,2.6277044,220,4527,0.0027268764,2000.0,419.54,0.080326095,4.6346306800842285,6.575747833400965,1e-05,-0.01698892062267987,3.5265402e-06,2190,-0.014260172843933105,0.0,0.2,1.5630765119567513e-05
0.19297016,442000,20.490566,0.05477365,97,2.645782,221,4547,0.0025172287,2000.0,420.59,0.07150111,9.942144393920898,7.1230112694203855,1e-05,-0.019011011232214513,2.4060544e-05,2200,-0.052658677101135254,0.0005859375,0.2,-0.00011450268211774529
0.18500416,444000,21.447645,0.08383039,97,2.7836726,222,4568,0.0036577093,2000.0,422.35,0.061320115,3.3410868644714355,6.741465692594647,1e-05,-0.017030168874771334,9.4316434e-05,2210,0.03263688087463379,0.002734375,0.2,-0.0005944990552961826
0.18795832,446000,21.65733,0.06337888,97,2.4520314,223,4589,0.0016949284,2000.0,422.38,0.08878744,2.3231821060180664,7.262272220104933,1e-05,-0.01889495201030513,0.00014071507,2220,0.05644667148590088,0.00224609375,0.2,-0.0001893406646559015
0.18154582,448000,21.519781,0.047696225,97,2.5794046,224,4609,0.0028317235,2000.0,422.31,0.04724565,1.9203416109085083,5.633754786103964,1e-05,-0.0215230669506127,0.0001807574,2230,0.016638219356536865,0.002783203125,0.2,-0.00033028357429429887
0.18511146,450000,21.054821,0.08600981,97,2.6417918,225,4630,0.0018570998,2000.0,421.92,0.098085776,2.1205766201019287,6.538314294815064,1e-05,-0.021180849912343546,0.00032597163,2240,0.0005232095718383789,0.00068359375,0.2,-0.00019941178761655464
0.19172096,452000,20.83709,0.066085994,97,2.6365395,226,4650,0.0028166226,2000.0,422.03,0.0903837,2.840449094772339,7.011739880591631,1e-05,-0.0217178826831514,0.00011779007,2250,-0.005711793899536133,0.001904296875,0.2,-0.0001440963678760454
0.19113691,454000,20.829052,0.08881994,97,2.7737584,227,4671,0.0023926378,2000.0,422.4,0.06242386,2.527998447418213,6.690246722847223,1e-05,-0.021888400506577456,1.7490238e-05,2260,0.024282336235046387,0.00048828125,0.2,-2.261069166706875e-05
0.18513215,456000,20.838793,0.04710321,97,2.537097,228,4691,0.0018566017,2000.0,422.96,0.116573855,2.7354958057403564,7.1767890200018885,1e-05,-0.02220604430185631,0.00012738295,2270,0.054980337619781494,0.0015625,0.2,-0.00013292977528180926
0.19009262,458000,20.570656,0.08363403,97,2.7774158,229,4712,0.0027976031,2000.0,422.93,0.077794775,5.257059574127197,6.460187028348446,1e-05,-0.022437612574140075,0.0001282653,2280,-0.030881762504577637,0.00263671875,0.2,-0.00019554252794478088
0.18273598,460000,20.800869,0.069787934,97,2.5454419,230,4732,0.0025713858,2000.0,423.17,0.09639925,2.158158302307129,7.224600048363209,1e-05,-0.01955224619305227,5.531119e-05,2290,0.05095565319061279,0.001904296875,0.2,-0.0005502479238202795
0.1945609,462000,20.36457,0.068953454,97,2.5920053,231,4752,0.002602363,2000.0,421.96,0.06430008,2.008612632751465,6.5937400393188,1e-05,-0.022405589767731725,1.8183695e-05,2300,-0.0268096923828125,0.00078125,0.2,4.046420799568296e-05
0.18660338,464000,20.446926,0.06452976,97,2.8025053,232,4773,0.00320464,2000.0,422.8,0.09339502,10.011947631835938,6.6463130168616775,1e-05,-0.020156951682292857,8.736132e-05,2310,0.01938307285308838,0.000634765625,0.2,-8.697850862517952e-05
0.18774295,466000,20.60015,0.08244691,97,2.6062102,233,4793,0.0017132639,2000.0,423.45,0.059761588,2.9874885082244873,7.561618155241012,1e-05,-0.020776882910286076,7.506754e-05,2320,0.021800518035888672,0.000390625,0.2,-3.3495092066004875e-05
0.18087342,468000,20.62689,0.07534933,97,2.4414294,234,4814,0.0022846998,2000.0,423.61,0.08832332,0.9557687640190125,6.581696863844991,1e-05,-0.017673123523127287,8.405256e-05,2330,0.006528019905090332,0.001953125,0.2,-0.0002571751087089069
0.18747552,470000,20.369524,0.05420869,97,2.7538579,235,4834,0.0030760088,2000.0,423.39,0.06671141,1.4921503067016602,5.755772308260203,1e-05,-0.019440847416990436,0.00061234913,2340,0.013766884803771973,0.002099609375,0.2,-0.0004043551773065701
0.18455055,472000,20.773273,0.06990079,97,2.8029253,236,4855,0.0018625938,2000.0,423.94,0.081046484,11.513045310974121,7.533377286046743,1e-05,-0.02005112756305607,0.00012852415,2350,-0.028623342514038086,0.00205078125,0.2,-0.0001403682224918157
0.18262884,474000,20.781702,0.04462474,97,2.880538,237,4875,0.003082782,2000.0,424.51,0.032178458,4.380020618438721,7.536608094722032,1e-05,-0.02161019786144607,1.14664435e-05,2360,0.0355297327041626,0.0001953125,0.2,-9.126835357164964e-05
0.1850667,476000,20.965376,0.075153776,97,2.8576012,238,4896,0.0016873514,2000.0,423.59,0.06711663,3.829226016998291,7.353007063269615,1e-05,-0.018699781215400436,9.6012984e-05,2370,0.09839314222335815,0.002978515625,0.2,-0.00043602905352599917
0.18676166,478000,20.951366,0.10042203,97,2.4030616,239,4916,0.0021418897,2000.0,423.79,0.10262182,2.3126890659332275,7.50769262984395,1e-05,-0.020216627951595,1.5138037e-05,2380,0.0804700255393982,0.0,0.2,2.198791189584881e-05
