time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,long_std,rollout/ep_rew_mean,long_mean,return_mean,short_mean,short_std,time/fps,return_std,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance
56000,558,28,2000.0,0.19359857,126.35714285714286,0.0036448517,10.518502,0.14975515,0.09324965,100,2.18142,270,5.594365981221199,0.2,-0.002345643278385978,0.0014977208,-0.46652384297922256,1.433374047279358,1e-05,0.0,-0.05038273334503174
58000,578,29,2000.0,0.18491615,129.31034482758622,0.0015708971,10.378851,0.12508467,0.06458457,100,2.1377113,280,4.959009385108947,0.2,-0.000845172988192644,0.00055888854,-0.42433585226535797,1.9577637910842896,1e-05,0.0,0.0045531392097473145
60000,598,30,2000.0,0.17853206,133.5,0.0014275851,10.73174,0.14473863,0.083514996,100,2.3464482,290,4.263407639414072,0.2,-0.0035772868199273945,0.002614452,-0.40675854589790106,4.20442533493042,1e-05,0.007177734375,0.06051492691040039
62000,618,31,2000.0,0.189586,140.96774193548387,0.0034800044,12.040255,0.15407495,0.07267658,100,2.175477,300,5.496915140002966,0.2,-0.0011233691955567337,0.001268296,-0.3825385301373899,3.068441152572632,1e-05,0.001904296875,-0.0010118484497070312
64000,638,32,2000.0,0.18737997,147.3125,0.0043109152,12.666985,0.19416706,0.09396692,100,2.2956803,310,4.725901574641466,0.2,-0.0012053387967171148,0.0012603217,-0.37273826636373997,2.3589210510253906,1e-05,0.006982421875,0.018256068229675293
66000,658,33,2000.0,0.19072273,152.93939393939394,0.0032780457,13.216849,0.15968677,0.0775496,100,2.432754,320,5.161136005818844,0.2,-0.0009423574316315353,0.0023638792,-0.3765710131265223,2.2012133598327637,1e-05,0.00576171875,0.02690821886062622
68000,678,34,2000.0,0.18057661,158.2941176470588,0.0031842496,13.821376,0.099200375,0.068089604,100,2.32954,330,5.895741261541843,0.2,-0.0007893154310295358,0.0028612283,-0.38182440456002953,2.601356029510498,1e-05,0.003466796875,-0.0012118816375732422
70000,698,35,2000.0,0.18909317,164.34285714285716,0.0019168076,14.57888,0.093444854,0.061930623,100,2.5940912,340,5.415228030085563,0.2,-0.003566610989946639,0.0035009254,-0.3519154775887728,2.3328633308410645,1e-05,0.02705078125,-0.004266977310180664
72000,718,36,2000.0,0.19040775,170.05555555555554,0.0033689155,15.046191,0.11430298,0.060495097,100,2.6915123,350,6.9515422530472275,0.2,-0.0015037929610116408,0.0008997553,-0.3329933863133192,2.3274643421173096,1e-05,0.002783203125,-0.03248584270477295
74000,738,37,2000.0,0.1849628,173.35135135135135,0.002425683,14.886957,0.12557624,0.070788525,100,2.252438,360,7.406695993244648,0.2,-0.0028452562750317157,0.0024453397,-0.31420493298210206,6.352514743804932,1e-05,0.025537109375,-0.017691373825073242
76000,758,38,2000.0,0.18614317,179.5,0.0027716407,15.85116,0.14138165,0.06541178,100,2.714877,370,5.238302267342806,0.2,-0.001277047023177147,0.0018781926,-0.28730151294730605,1.7324447631835938,1e-05,0.005126953125,-0.04408121109008789
78000,778,39,2000.0,0.18593475,184.46153846153845,0.0031501774,16.195196,0.1279419,0.08950796,100,2.371106,380,7.246347513794899,0.2,-0.0012640188026125543,0.0008784936,-0.2811495851259679,3.8462464809417725,1e-05,0.006884765625,0.00904083251953125
80000,798,40,2000.0,0.18385246,189.375,0.0029826798,16.51743,0.14372618,0.07509883,100,2.6269577,390,5.666404910385609,0.2,-0.0003239772457163781,0.0003806199,-0.2768124955706298,3.346036434173584,1e-05,0.0,-0.014336228370666504
82000,818,41,2000.0,0.18679458,192.82926829268294,0.0025258684,16.298864,0.123214066,0.07557886,100,2.3521006,400,6.823990719020367,0.2,-0.0009574431693181396,0.0007167631,-0.25929223564453424,3.469083786010742,1e-05,0.001904296875,0.011424601078033447
84000,838,42,2000.0,0.18390453,197.66666666666666,0.001559754,16.94106,0.10821918,0.09191971,100,2.560958,410,5.5451991312205795,0.2,-0.0003779373568249866,0.0010763186,-0.25742224981077017,1.3056914806365967,1e-05,0.002587890625,-0.019150733947753906
86000,858,43,2000.0,0.18617442,201.3953488372093,0.0022830237,17.03404,0.08325124,0.0669046,100,2.5806084,420,6.512428890913725,0.2,-0.0024785825778963046,0.0020650802,-0.24697216805070638,5.130281448364258,1e-05,0.023583984375,7.480382919311523e-05
88000,878,44,2000.0,0.18665805,206.5,0.0035100803,17.548454,0.09024015,0.08969072,100,2.407315,430,6.3956718891859055,0.2,-0.0009528170936391689,0.00068932254,-0.23733052616007627,3.371917724609375,1e-05,0.000341796875,0.02554374933242798
90000,898,45,2000.0,0.18712929,212.8,0.0027678786,18.610422,0.08801288,0.09262493,100,2.6440105,440,5.732332637906074,0.2,-0.0006827793054981157,0.0010005004,-0.21712895804084836,2.397937536239624,1e-05,0.006005859375,0.006979644298553467
92000,919,46,2000.0,0.18276477,216.7826086956522,0.0036872148,18.455832,0.13574705,0.058048446,100,2.5225427,450,6.673220244795084,0.2,-0.0015334184776293115,0.0013931335,-0.20186155163682998,3.266348123550415,1e-05,0.010888671875,0.041376471519470215
94000,939,47,2000.0,0.18082231,219.19148936170214,0.0026096685,18.08856,0.070938155,0.065409705,100,2.3977633,460,6.398897971212864,0.2,-0.0004167811930528842,0.0010623544,-0.1943707787897438,3.276698112487793,1e-05,0.002734375,-0.011784672737121582
96000,959,48,2000.0,0.18136553,222.9375,0.002370505,18.229738,0.07894517,0.09404537,100,2.51885,470,5.859830699115991,0.2,-0.000364786344289314,0.0008127373,-0.2017658372875303,2.4686973094940186,1e-05,0.001318359375,-0.018512487411499023
98000,979,49,2000.0,0.193096,226.75510204081633,0.0014270556,18.527998,0.07003436,0.04315121,100,2.794622,480,6.308983715623617,0.2,-0.0019061372935539112,0.0008710923,-0.19216812965460123,1.8012137413024902,1e-05,0.00341796875,0.00251692533493042
100000,999,50,2000.0,0.19154951,229.58,0.0017132605,18.409258,0.069921,0.0760453,100,2.670207,490,7.582704167068004,0.2,-0.0009098502763663418,0.00046682678,-0.17824542350135744,5.54916524887085,1e-05,0.002197265625,0.019143879413604736
102000,1020,51,2000.0,0.18765922,234.49019607843138,0.0022757882,19.259836,0.046130806,0.05394591,99,2.817464,500,6.7596612580120565,0.2,-0.00031548863917123525,0.00018808112,-0.1712665124796331,2.0563859939575195,1e-05,0.000634765625,0.053661048412323
104000,1040,52,2000.0,0.18396842,239.51923076923077,0.0035419322,19.758074,0.11277022,0.0837937,99,2.7101634,510,7.897052864730358,0.2,-0.000455331448756624,0.00046041128,-0.17244735001586378,2.539977550506592,1e-05,0.00322265625,0.013401806354522705
106000,1061,53,2000.0,0.18297844,243.0566037735849,0.0027848415,19.838676,0.16782285,0.11394673,99,2.9331746,520,7.337098067253828,0.2,-0.0010607401549350471,0.0012199967,-0.18121350929141045,2.9049460887908936,1e-05,0.0064453125,0.006221115589141846
108000,1081,54,2000.0,0.19211213,245.22222222222223,0.0042794603,19.430439,0.121134415,0.08243253,99,2.400563,530,7.946095142513514,0.2,-0.0006052990996977314,0.00027799557,-0.1759092839900404,4.228785991668701,1e-05,0.000146484375,0.07064306735992432
110000,1101,55,2000.0,0.19211186,248.34545454545454,0.0026051148,19.541742,0.14042401,0.099736094,99,2.7077582,540,5.643329826742411,0.2,-0.0005906085280003026,0.0009478234,-0.18588313506916165,1.9959933757781982,1e-05,0.002099609375,0.014231443405151367
112000,1121,56,2000.0,0.18336597,250.80357142857142,0.0040159943,19.384293,0.16188265,0.071795784,99,2.7467036,550,6.984722618386149,0.2,-0.0007336358918109909,0.001068159,-0.17993671256117522,0.957287609577179,1e-05,0.010498046875,0.039370715618133545
114000,1143,57,2000.0,0.19239534,253.33333333333334,0.001506423,19.256683,0.08654331,0.09613182,99,2.5955138,560,7.320844307541847,0.2,-0.0002898833598010242,0.0001913891,-0.16517914314754306,3.2927193641662598,1e-05,0.0,0.02134716510772705
116000,1168,58,2000.0,0.18798557,255.55172413793105,0.0019976369,19.01923,0.17423525,0.092467524,99,2.4205902,570,5.920506599545479,0.2,-0.0017115464084781705,0.0012805021,-0.19062134618870913,3.2328097820281982,1e-05,0.011767578125,0.10658425092697144
118000,1190,59,2000.0,0.18855253,258.1186440677966,0.0024280779,19.158453,0.14640857,0.060335003,99,2.3259761,580,6.113409167528152,0.2,-0.0009586843298166059,0.0006457296,-0.18649203069508075,1.4821808338165283,1e-05,0.00419921875,-0.05307316780090332
120000,1211,60,2000.0,0.19074035,260.03333333333336,0.002057487,18.904982,0.20292728,0.08931954,99,2.368142,590,5.454670231416822,0.2,-0.0002419255717541091,0.00047894864,-0.17367983250878752,1.7943495512008667,1e-05,0.0,-0.022315263748168945
122000,1232,61,2000.0,0.18485662,263.4590163934426,0.0034099594,19.460535,0.14116836,0.08222262,98,2.4945815,600,5.3822271674871445,0.2,-0.0010582400544080883,0.00096096715,-0.19823967115953564,2.041212797164917,1e-05,0.00830078125,0.03015422821044922
124000,1254,62,2000.0,0.18336207,265.43548387096774,0.0018546652,19.207493,0.1666133,0.07047494,98,2.5955856,610,5.724435505270958,0.2,-0.0006414559305994771,0.00039811293,-0.18414531399030237,3.338468313217163,1e-05,0.011083984375,0.07266479730606079
126000,1276,63,2000.0,0.1944482,268.5079365079365,0.0019478158,19.725872,0.17173186,0.056248814,98,2.8425117,620,5.733268316835165,0.2,-0.0023295169055927547,0.0009906704,-0.17931983468588442,3.217647075653076,1e-05,0.01923828125,0.13933449983596802
128000,1298,64,2000.0,0.18001702,270.34375,0.0022851967,19.51207,0.13300076,0.09261444,98,2.8454866,630,7.768177780508995,0.2,-0.000983307568822056,0.0012951883,-0.15938996935728938,2.3724963665008545,1e-05,0.010498046875,0.03715246915817261
