rollout/ep_len_mean,time/fps,time/iterations,long_std,time/time_elapsed,short_std,return_mean,rollout/ep_rew_mean,short_mean,return_std,time/total_timesteps,long_mean,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss
2000.0,91,112,0.17518803,2448,0.017279066,-0.52856,-9.03,0.016687797,0.8076752,224000,0.0058761155,1.2448396813124418,0.2,0.01953125,0.0022768923,0.5304730534553528,-0.0030702120362548157,0.06291097402572632,1110,1e-05,-0.22624874864704908
2000.0,91,113,0.18756497,2469,0.0221308,-0.07894759,-9.54,0.018777514,0.771044,226000,0.002447504,0.583854793291539,0.2,0.010302734375,0.0012800265,0.08501584827899933,-0.0013746466662269085,0.09610480070114136,1120,1e-05,-0.20181347178295256
2000.0,91,114,0.1877262,2490,0.017263599,0.018267762,-10.17,0.014440338,0.94022536,228000,0.0037303367,0.6167890544049441,0.2,0.0015625,0.00075740425,0.45165562629699707,-0.00010172479087486864,-0.048397064208984375,1130,1e-05,-0.22823822903446853
2000.0,91,115,0.18547708,2512,0.024664095,0.1665515,-11.2,0.02054292,0.92677724,230000,0.001872757,0.9569024711847305,0.2,0.02109375,0.0020948276,0.6133832931518555,-0.002819365126197226,-0.11612462997436523,1140,1e-05,-0.21699695936404167
2000.0,91,116,0.18155454,2533,0.007874651,0.20707405,-11.93,0.008144448,1.1982763,232000,0.0051496373,0.8820235793478787,0.2,0.029736328125,0.0021538245,0.23456430435180664,-0.0033568900427781044,-0.037897706031799316,1150,1e-05,-0.23185467203147708
2000.0,91,117,0.1776482,2554,0.006833623,0.17924732,-12.45,0.0068654763,1.0323756,234000,0.004468358,1.5048496063798666,0.2,0.0134765625,0.0021323485,1.2631325721740723,-0.002876927307806909,-0.08042633533477783,1160,1e-05,-0.23092939099296927
2000.0,91,118,0.18116175,2575,0.015062294,0.30898136,-11.8,0.008702573,1.0795643,236000,0.00346772,1.0063087411224843,0.2,0.0,0.00086007116,0.6629893183708191,-0.000680812168866396,0.01462477445602417,1170,1e-05,-0.2170553573407233
2000.0,91,119,0.17916602,2596,0.016288396,0.53709733,-12.28,0.012734013,1.0072992,238000,0.0034433873,1.1098566874861717,0.2,0.003125,0.0012859486,0.43695658445358276,-0.0008919715706724674,0.04043471813201904,1180,1e-05,-0.2184905934613198
2000.0,91,120,0.18366937,2618,0.0075416127,0.44898185,-12.87,0.007827748,1.2309456,240000,0.0012441498,1.0051627039909363,0.2,0.0419921875,0.002370224,0.449679970741272,-0.0036777423141757027,0.0036367177963256836,1190,1e-05,-0.23145922645926476
2000.0,91,121,0.19008699,2639,0.031648856,0.43530154,-13.19,0.0131187225,0.86335963,242000,0.002884126,1.4549953984096646,0.2,0.029833984375,0.002606632,1.1900848150253296,-0.0033083479109336624,0.033378422260284424,1200,1e-05,-0.21625400194898248
2000.0,91,122,0.19179276,2659,0.015693,0.10967551,-13.91,0.013989056,1.0262898,244000,0.0025708904,0.7557234631851315,0.2,0.022802734375,0.0020453404,0.44342342019081116,-0.0025885023729642852,-0.03531467914581299,1210,1e-05,-0.21286894408985974
2000.0,91,123,0.18176126,2680,0.014816655,0.10278737,-14.94,0.012008823,1.0825068,246000,0.0017860844,0.9963964123278857,0.2,0.011767578125,0.0010441004,0.6158385276794434,-0.0014837664217338896,0.04692953824996948,1220,1e-05,-0.1794206691905856
2000.0,91,124,0.18555096,2701,0.012613573,0.1696799,-14.64,0.01230237,1.0449802,248000,0.0033298046,0.9956011094152928,0.2,0.0060546875,0.0012006823,0.5326584577560425,-0.0016119886917294935,0.11706310510635376,1230,1e-05,-0.16943085889797657
2000.0,91,125,0.1906828,2721,0.02099169,0.9128275,-13.75,0.021029694,1.3040901,250000,0.0024282236,0.8995057957246899,0.2,0.016943359375,0.0016481116,0.6553388237953186,-0.0025100097234826537,0.14835554361343384,1240,1e-05,-0.15879668188281357
2000.0,91,126,0.17800125,2742,0.0081741,0.31712553,-14.97,0.008627569,0.9332994,252000,0.004569549,1.5186350099742412,0.2,0.0126953125,0.001239075,0.7907699346542358,-0.0015027134242700413,0.11501318216323853,1250,1e-05,-0.19715641476213933
2000.0,91,127,0.18471615,2762,0.015963791,0.18792734,-14.38,0.00984911,0.8755167,254000,0.002389041,0.6263381035998463,0.2,0.00703125,0.0010309835,0.3412100672721863,-0.0008573626808356493,0.2678754925727844,1260,1e-05,-0.14663449137005954
2000.0,91,128,0.18602608,2784,0.032694757,-0.03781117,-10.06,0.021576742,0.585399,256000,0.0032227999,0.614705843385309,0.2,0.00341796875,0.0015373277,0.2011352926492691,-0.0010336257138988004,0.18238937854766846,1270,1e-05,-0.14573425815906377
2000.0,91,129,0.18951072,2805,0.013065849,0.077727705,-8.51,0.015432498,0.57985866,258000,0.0009854477,0.34223064039833845,0.2,0.00576171875,0.00061912916,0.21624824404716492,-0.0010054121958091855,-0.04355955123901367,1280,1e-05,-0.142645967612043
2000.0,92,130,0.18607497,2825,0.0268372,0.34143677,-7.94,0.016996773,1.0122607,260000,0.0038714895,0.313034522999078,0.2,0.026806640625,0.0010076503,0.11419788002967834,-0.0035017687216168268,0.06445199251174927,1290,1e-05,-0.14465052660088987
2000.0,92,131,0.18524134,2846,0.029896758,0.82807565,-7.23,0.015148028,1.0441744,262000,0.0019994571,0.9787067888304591,0.2,0.015283203125,0.0011516649,0.6052629351615906,-0.001535962542402558,0.025018393993377686,1300,1e-05,-0.16249968155752867
2000.0,92,132,0.18720986,2867,0.016395053,1.1116345,-5.76,0.016586835,1.2002953,264000,0.0027530869,0.9391540196724236,0.2,0.001513671875,0.00036827876,0.45534223318099976,-0.0005359872404369526,0.11948305368423462,1310,1e-05,-0.1716347431531176
2000.0,92,133,0.18735877,2889,0.023141198,0.9844729,-5.91,0.026055524,0.9650327,266000,0.002499969,1.1734015403315425,0.2,0.007080078125,0.0012358523,0.6121700406074524,-0.0016620753362076358,0.16820955276489258,1320,1e-05,-0.15967495448421687
2000.0,92,134,0.19059597,2910,0.015558012,1.2371064,-5.4,0.016990136,1.1502969,268000,0.0018570997,0.6573968291282654,0.2,0.02177734375,0.0013227611,0.20491987466812134,-0.0021991117580910215,0.27518075704574585,1330,1e-05,-0.16425320100970567
2000.0,92,135,0.1837836,2931,0.019868866,1.5191072,-4.82,0.01565033,1.3219507,270000,0.0023859432,0.9932543260976672,0.2,0.0220703125,0.0013648933,0.6593104600906372,-0.002677474697702564,0.23500323295593262,1340,1e-05,-0.17714496662374585
