time/iterations,long_mean,time/fps,rollout/ep_rew_mean,return_std,long_std,time/time_elapsed,short_std,return_mean,time/total_timesteps,short_mean,rollout/ep_len_mean,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/std
37,0.00058878795,233,1195.7433333333333,15.820805,0.01705952,324,0.019338401,135.3843,75776,0.0310308,1000.0,1e-05,0.2,0.033154296875,360,0.005516142,-7.103942143917084,0.11792993545532227,222.52154026031494,19.883024215698242,-0.004230957951222081,1.0017508268356323
38,0.0004914299,233,1204.7110389610389,17.482077,0.014537947,332,0.015294029,140.02538,77824,0.034156717,1000.0,1e-05,0.2,0.02587890625,370,0.005446986,-7.103776980936527,0.15109020471572876,210.3718617081642,94.18785858154297,-0.0025440797850023954,1.0018589496612549
39,0.00044853397,234,1211.613924050633,15.435615,0.013131592,341,0.015463312,138.10706,79872,0.03723235,1000.0,1e-05,0.2,0.042578125,380,0.006486608,-7.104039737582207,0.10246926546096802,252.1887450695038,76.13260650634766,-0.005023896836792119,1.0019078254699707
40,0.0005033959,234,1218.9969135802469,15.868613,0.02024306,350,0.01525914,136.80312,81920,0.03607025,1000.0,1e-05,0.2,0.0591796875,390,0.0073060747,-7.104436118900776,0.04001098871231079,221.14241141080856,61.097267150878906,-0.005875878286315128,1.0019406080245972
41,0.00047711306,234,1225.813253012048,16.974182,0.015122143,358,0.019306699,136.33615,83968,0.035204276,1000.0,1e-05,0.2,0.0169921875,400,0.0043050386,-7.104939246177674,0.0704953670501709,225.3441312432289,138.02313232421875,-0.0024706341966520993,1.0021929740905762
42,0.0007950575,234,1236.7616279069769,18.267986,0.017573722,367,0.018222515,137.83658,86016,0.03254186,1000.0,1e-05,0.2,0.051220703125,410,0.006824622,-7.105497491359711,0.05738627910614014,250.38075181245804,156.34275817871094,-0.006540285609662533,1.0021857023239136
43,0.00056579895,234,1244.0198863636363,16.251534,0.012619917,375,0.015287264,141.23227,88064,0.038485892,1000.0,1e-05,0.2,0.028125,420,0.00501852,-7.1061018511652945,0.004473507404327393,327.24637336730956,274.6797790527344,-0.0027497284056153147,1.0024250745773315
44,0.00051654,234,1247.7222222222222,16.272285,0.015691174,384,0.015055649,135.68573,90112,0.035920687,1000.0,1e-05,0.2,0.03095703125,430,0.006189991,-7.1069364041090015,0.1699683666229248,216.77816860675813,121.80502319335938,-0.0033822319659520873,1.002515435218811
45,0.0005622388,234,1251.9347826086957,17.32397,0.01847071,392,0.017232943,134.0466,92160,0.036178187,1000.0,1e-05,0.2,0.06484375,440,0.008168407,-7.108412131667137,0.1571381688117981,219.3130290389061,88.6917953491211,-0.007347486523212865,1.0029582977294922
46,0.00034215397,234,1260.593085106383,17.763847,0.018951295,401,0.015226877,137.33832,94208,0.035411596,1000.0,1e-05,0.2,0.02939453125,450,0.0040474692,-7.110137675702572,0.27705782651901245,209.1361918568611,150.79119873046875,-0.0035257277500932104,1.0031741857528687
