return_mean,short_mean,long_mean,time/time_elapsed,long_std,short_std,rollout/ep_rew_mean,return_std,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss
1.2450392,0.49002337,-0.4170357,1264,1.9858502,0.30322725,2.789705839999999,0.7310558,20.0,83968,41,66,0.046142578125,1e-05,0.0606903993873857,400,-2.627151946723461,0.2,-0.00829465985589195,0.012955317,0.8628935217857361,0.024689529091119766
1.3407078,0.5338278,-0.38788626,1293,1.9534757,0.32115805,3.0047059299999996,0.78380954,20.0,86016,42,66,0.0408203125,1e-05,0.060273271781625226,410,-2.610923428833485,0.2,-0.006708067667204887,0.008860051,0.8535633981227875,0.03512084484100342
1.280219,0.51072234,-0.40810066,1322,1.9947621,0.31098527,2.8720587900000005,0.7875024,20.0,88064,43,66,0.036328125,1e-05,0.07147276781033725,420,-2.6204565569758413,0.2,-0.008010767116502393,0.008341329,0.8387754261493683,0.02269817516207695
1.3133776,0.52852446,-0.41166863,1352,1.9108291,0.32165954,2.91647061,0.84488565,20.0,90112,44,66,0.0484375,1e-05,0.07419570091878995,430,-2.6090748332440854,0.2,-0.00854476956592407,0.0091731865,0.8434283882379532,0.0060789696872234344
1.2886884,0.5338058,-0.40752897,1380,1.940377,0.32529378,2.90176471,0.7691246,20.0,92160,45,66,0.047216796875,1e-05,0.09157306937268003,440,-2.5528842955827713,0.2,-0.00992508621129673,0.011797895,0.8404593914747238,0.018536414951086044
1.2701943,0.5520677,-0.4168984,1409,1.9559323,0.32912728,2.8058823799999995,0.7437528,20.0,94208,46,66,0.02890625,1e-05,0.07035843263729476,450,-2.56709251254797,0.2,-0.0066580074810190125,0.009783899,0.8492496609687805,0.0077581629157066345
1.3017871,0.5494431,-0.38087955,1438,1.894602,0.32809255,2.9199999400000003,0.77955145,20.0,96256,47,66,0.04140625,1e-05,0.06647081585251727,460,-2.5357809640467166,0.2,-0.00794990123831667,0.009110961,0.8460888117551804,0.04664958640933037
1.237939,0.5445857,-0.40722135,1467,1.9424992,0.32428864,2.7620588100000005,0.77177453,20.0,98304,48,66,0.055908203125,1e-05,0.07212983295903541,470,-2.511635709553957,0.2,-0.010795162993599661,0.012159039,0.8466098457574844,0.04344522953033447
1.2942798,0.57224846,-0.40888298,1496,1.9533386,0.33070368,2.9085294500000005,0.81934285,20.0,100352,49,67,0.0578125,1e-05,0.06532763640861958,480,-2.4643587470054626,0.2,-0.011128591391025112,0.011350878,0.8694798797369003,0.005209028720855713
1.2830288,0.56119084,-0.42205215,1525,1.9352335,0.3321379,2.8667647300000003,0.7820993,20.0,102400,50,67,0.074853515625,1e-05,0.09179394881939515,490,-2.3938264533877374,0.2,-0.012137633658130653,0.01528535,0.8285461813211441,0.0092622060328722
1.3795581,0.5804502,-0.42630658,1555,1.8556108,0.33965197,3.042352920000001,0.80593073,20.0,104448,51,67,0.037646484375,1e-05,0.07790926537709311,500,-2.3688930980861187,0.2,-0.006803758304158691,0.0073900074,0.84100241959095,0.027715176343917847
1.4221288,0.60159945,-0.4038537,1587,1.8097404,0.34905246,3.11088237,0.86657006,20.0,106496,52,67,0.06689453125,1e-05,0.07091536250663921,510,-2.319029577076435,0.2,-0.011988888634368778,0.009509663,0.8594376593828201,0.018137671053409576
1.3765085,0.59296757,-0.3847279,1617,1.8536812,0.3472815,3.0229411699999997,0.8464023,20.0,108544,53,67,0.076953125,1e-05,0.0845952068164479,520,-2.2896309927105905,0.2,-0.013962476498272735,0.010754798,0.8574565500020981,0.0004520602524280548
1.4796486,0.6099564,-0.37542295,1648,1.8620415,0.35089967,3.2538235400000004,0.8923778,20.0,110592,54,67,0.0556640625,1e-05,0.07937544342130423,530,-2.256436721235514,0.2,-0.01197055438242387,0.009714062,0.8609064072370529,0.036452218890190125
1.4177276,0.6043577,-0.38233206,1679,1.75231,0.3426121,3.1629411299999997,0.84434134,20.0,112640,55,67,0.07138671875,1e-05,0.08127071172348224,540,-2.200243431329727,0.2,-0.013846414198633283,0.011694512,0.8704827427864075,0.010909784585237503
1.4106723,0.5958197,-0.39331162,1713,1.856624,0.34455767,3.1561764599999997,0.8302876,20.0,114688,56,66,0.036181640625,1e-05,0.06971424552612007,550,-2.1769068643450735,0.2,-0.008524321840377524,0.012051081,0.8789636194705963,0.011395571753382683
1.4246421,0.6102762,-0.3771433,1744,1.72394,0.34674135,3.2235294400000005,0.889367,20.0,116736,57,66,0.0529296875,1e-05,0.06733611321542413,560,-2.10942450016737,0.2,-0.00924591146176681,0.012988349,0.8807083666324615,0.013103378936648369
1.340934,0.59883773,-0.39007187,1776,1.8472829,0.34771913,3.0338235099999995,0.81317574,20.0,118784,58,66,0.07353515625,1e-05,0.08351925683673471,570,-2.0654558692127467,0.2,-0.011811170374858192,0.010252619,0.8708125352859497,0.022479314357042313
1.4443573,0.6178055,-0.39339617,1807,1.7775633,0.35844952,3.2432352900000008,0.85170007,20.0,120832,59,66,0.05166015625,1e-05,0.07000427364255302,580,-2.036325015127659,0.2,-0.011117601969453971,0.009569172,0.8707449436187744,0.02257537841796875
1.5497159,0.6254642,-0.37159055,1840,1.7610557,0.35396317,3.4829411899999996,0.8832677,20.0,122880,60,66,0.0396484375,1e-05,0.06894199187518098,590,-1.9779540546238423,0.2,-0.008607186438166537,0.008147754,0.8872526735067368,0.027836402878165245
1.4622668,0.63019013,-0.39818972,1873,1.8255664,0.35731384,3.2567646800000007,0.88789624,20.0,124928,61,66,0.078466796875,1e-05,0.06357958493754268,600,-1.982874944806099,0.2,-0.010236867907224223,0.012321429,0.9032239466905594,0.008502468466758728
1.4785998,0.6224604,-0.3588747,1909,1.8611823,0.3528261,3.28235293,0.88433045,20.0,126976,62,66,0.05703125,1e-05,0.08084918286767788,610,-1.9657481502741576,0.2,-0.01021633615164319,0.010893242,0.8760110512375832,0.030474239960312843
1.5544716,0.62391824,-0.4043435,1941,1.7876995,0.3514912,3.4926470999999992,0.92491484,20.0,129024,63,66,0.027734375,1e-05,0.06805939710466191,620,-1.9890085585415362,0.2,-0.006779875155189075,0.009734788,0.8919385448098183,0.0038074329495429993
1.5578963,0.6238613,-0.37734848,1974,1.785542,0.34907195,3.51147059,0.9386355,20.0,131072,64,66,0.05009765625,1e-05,0.08357422964181752,630,-2.009379156306386,0.2,-0.00750504025927512,0.009152774,0.8803847432136536,0.002603519707918167
1.5547085,0.6288128,-0.3741123,2007,1.8606936,0.35718894,3.49882353,0.913224,20.0,133120,65,66,0.03056640625,1e-05,0.07712402538745664,640,-1.993869825080037,0.2,-0.004359934301464819,0.0065811677,0.893945962190628,0.038433149456977844
1.580037,0.62677276,-0.4183426,2040,1.824256,0.3577659,3.5029411599999998,0.9278147,20.0,135168,66,66,0.0521484375,1e-05,0.07760757259675302,650,-1.9890017859637736,0.2,-0.009083112713415175,0.010203276,0.8905340954661369,0.019870854914188385
1.5650587,0.6235397,-0.36581236,2075,1.7912815,0.35278106,3.514411760000001,0.9209207,20.0,137216,67,66,0.064208984375,1e-05,0.07923499070457182,660,-1.9885558515787125,0.2,-0.009296376985730603,0.0129495,0.8869496211409569,0.07139803469181061
1.5576701,0.631845,-0.4023101,2108,1.7964307,0.35666937,3.44941173,0.9304395,20.0,139264,68,66,0.05419921875,1e-05,0.0747047521872446,670,-1.9662311252206564,0.2,-0.008688649421674199,0.0068377564,0.8937470838427544,0.02383972331881523
1.5803124,0.63365746,-0.38893998,2140,1.7675173,0.3595962,3.53411765,0.95088524,20.0,141312,69,66,0.037353515625,1e-05,0.08215763297048398,680,-1.9586371686309576,0.2,-0.0059000718523748216,0.01066741,0.8843267560005188,0.060534559190273285
1.5565324,0.636065,-0.3675278,2172,1.7369808,0.36051175,3.4579411799999997,0.93720746,20.0,143360,70,65,0.09501953125,1e-05,0.08494227611226961,690,-1.9092676162719726,0.2,-0.012792416306911036,0.01240083,0.8874243870377541,0.004426034167408943
1.5786967,0.6366557,-0.384865,2203,1.8382311,0.3584657,3.57235293,0.91888714,20.0,145408,71,65,0.0484375,1e-05,0.07969906848738902,700,-1.881350824981928,0.2,-0.006506731112312991,0.008351073,0.8952572420239449,0.03723977133631706
1.5839059,0.6384824,-0.37712446,2236,1.7861682,0.3644715,3.5470588199999997,0.9239776,20.0,147456,72,65,0.02578125,1e-05,0.06821908906567842,710,-1.856715089827776,0.2,-0.005607585812686011,0.004887825,0.9054660350084305,0.024511320516467094
1.670511,0.64826065,-0.42490748,2269,1.8670086,0.36572462,3.6832353,0.9517181,20.0,149504,73,65,0.022998046875,1e-05,0.08551332360948435,720,-1.8156011272221804,0.2,-0.004683476706850343,0.005667107,0.8794696852564812,0.045634686946868896
1.6160958,0.64730275,-0.39403108,2301,1.8292443,0.36839005,3.58294117,0.9560172,20.0,151552,74,65,0.043896484375,1e-05,0.07079546876484528,730,-1.7774645987898112,0.2,-0.004659095846000128,0.0065056095,0.9079217836260796,0.019468938931822777
1.5990051,0.65097034,-0.38546038,2333,1.8026527,0.36564362,3.5691176199999997,0.9430813,20.0,153600,75,65,0.038818359375,1e-05,0.08291197913931683,740,-1.8064941484481096,0.2,-0.004800768254790455,0.009424415,0.8933151066303253,0.0020215772092342377
1.61238,0.63267934,-0.39034027,2364,1.7925284,0.35744277,3.6138235300000003,0.9379637,20.0,155648,76,65,0.0318359375,1e-05,0.0760321055422537,750,-1.8225133810192347,0.2,-0.005076575414568652,0.0058915587,0.8993078917264938,0.017522141337394714
1.5499053,0.6319815,-0.38126597,2395,1.7725332,0.35786557,3.4991176499999996,0.90948665,20.0,157696,77,65,0.0419921875,1e-05,0.07576006384333596,760,-1.8278323024511338,0.2,-0.006340712100791279,0.008975612,0.9019442647695541,0.045260969549417496
1.564353,0.63774157,-0.39419436,2427,1.72749,0.36044067,3.48588238,0.9328644,20.0,159744,78,65,0.053466796875,1e-05,0.07153219626634381,770,-1.8437552966177464,0.2,-0.00766684914851794,0.009276593,0.8984864428639412,0.021081535145640373
1.651561,0.64113283,-0.38190645,2458,1.701663,0.362246,3.67411765,0.9525824,20.0,161792,79,65,0.045263671875,1e-05,0.07945527994888835,780,-1.8786426909267901,0.2,-0.005669037249754183,0.0075184717,0.8888591825962067,0.01610354706645012
1.5907569,0.6552408,-0.38157657,2492,1.7165616,0.36801547,3.57323533,0.9389328,20.0,163840,80,65,0.067919921875,1e-05,0.07785434159450233,790,-1.8675448164343833,0.2,-0.008080021082423627,0.01157866,0.9025020599365234,0.06968407332897186
1.6227322,0.6510621,-0.37746343,2524,1.8115053,0.3645094,3.62911764,0.9347422,20.0,165888,81,65,0.064111328125,1e-05,0.07136660784017294,800,-1.879396803677082,0.2,-0.00808738508494571,0.010277558,0.8946348577737808,0.020626146346330643
1.595401,0.63322157,-0.40632525,2556,1.8695921,0.35206243,3.6149999999999993,0.93571436,20.0,167936,82,65,0.046142578125,1e-05,0.07168906512088143,810,-1.884538732841611,0.2,-0.00617644886369817,0.009922508,0.9039101302623749,0.028207607567310333
1.5587388,0.6357192,-0.3924481,2588,1.8055667,0.36242083,3.49235296,0.9267874,20.0,169984,83,65,0.0798828125,1e-05,0.06896047100308351,820,-1.8521794363856317,0.2,-0.009338857428519986,0.011038615,0.909032367169857,0.017169639468193054
1.6695981,0.6457781,-0.38557014,2620,1.7704893,0.36140066,3.7147058900000003,0.9809541,20.0,172032,84,65,0.037890625,1e-05,0.07844982458627783,830,-1.8215271551162004,0.2,-0.005872586247278377,0.006039906,0.8950221389532089,0.008633922785520554
1.6638575,0.6523498,-0.3901567,2652,1.7981522,0.36573482,3.7550000200000007,0.95982796,20.0,174080,85,65,0.048291015625,1e-05,0.0835867598769255,840,-1.7560110434889793,0.2,-0.007149021413351875,0.011609992,0.8948931619524956,0.018328595906496048
1.6570289,0.6499091,-0.38050026,2684,1.8742146,0.37036422,3.68205875,0.94381684,20.0,176128,86,65,0.084814453125,1e-05,0.0728591805556789,850,-1.697837556153536,0.2,-0.00821687467105221,0.008264461,0.9082148224115372,0.02086765132844448
1.6738536,0.6509503,-0.37619257,2716,1.7909116,0.3662829,3.7123529100000003,0.97755504,20.0,178176,87,65,0.048828125,1e-05,0.07355802059173584,860,-1.694327438250184,0.2,-0.006127054715761915,0.006410416,0.9048306494951248,0.026986118406057358
1.7018051,0.6594085,-0.3597378,2748,1.6713697,0.37522846,3.7049999800000006,0.9596607,20.0,180224,88,65,0.0478515625,1e-05,0.08150536399916745,870,-1.7009528681635857,0.2,-0.0061765925289364535,0.0070496215,0.9027304127812386,0.03939220309257507
1.6442325,0.65549815,-0.37595296,2780,1.8000284,0.36712903,3.6261764999999997,0.94850856,20.0,182272,89,65,0.062109375,1e-05,0.06494807181879877,880,-1.684366662800312,0.2,-0.007693541116896086,0.009790143,0.9182380810379982,0.002189449965953827
1.6387427,0.6518698,-0.37125435,2814,1.7908416,0.36840224,3.6020588499999997,0.9675595,20.0,184320,90,65,0.062060546875,1e-05,0.07406345648923889,890,-1.7223484829068183,0.2,-0.008694990996445995,0.010003874,0.9042775630950928,0.026139521971344948
1.723927,0.65467376,-0.35932767,2847,1.8184484,0.3722307,3.7611764899999995,0.97955596,20.0,186368,91,65,0.083203125,1e-05,0.0782640702847857,900,-1.7604081872850657,0.2,-0.010117617252399213,0.013053406,0.9049442410469055,0.005981467664241791
1.7117139,0.65661013,-0.39542583,2878,1.7601291,0.369967,3.765294130000001,0.9571103,20.0,188416,92,65,0.05146484375,1e-05,0.07695268271490932,910,-1.781962164863944,0.2,-0.005696750697097741,0.008039398,0.9055991247296333,0.037923216819763184
1.6875145,0.64862514,-0.38768524,2910,1.7930694,0.36324862,3.76911763,0.995695,20.0,190464,93,65,0.068896484375,1e-05,0.07012863990967162,920,-1.784139096736908,0.2,-0.007681804375897628,0.012156421,0.911960132420063,0.006415620446205139
1.6279154,0.66610587,-0.34220877,2942,1.7212931,0.37915957,3.59470588,0.9539316,20.0,192512,94,65,0.060986328125,1e-05,0.08837774940766394,930,-1.7894762098789214,0.2,-0.0073325801873579625,0.008261674,0.8940229788422585,0.04171595349907875
1.7106283,0.6473994,-0.3723454,2975,1.8700404,0.36839,3.7820588399999995,0.9683166,20.0,194560,95,65,0.052880859375,1e-05,0.07196389769669623,940,-1.7770278569310904,0.2,-0.006576099811354652,0.008485053,0.907905824482441,0.017525769770145416
1.7059591,0.66113615,-0.39368534,3008,1.7733386,0.37355673,3.8029412299999996,0.9744958,20.0,196608,96,65,0.0626953125,1e-05,0.07113485455629416,950,-1.7363234970718622,0.2,-0.007368380788830109,0.011757441,0.9111880883574486,0.02107052691280842
1.6848288,0.654866,-0.35445952,3040,1.8107837,0.37157115,3.7247058799999997,0.9751666,20.0,198656,97,65,0.058544921875,1e-05,0.07084022269700654,960,-1.7572048768401145,0.2,-0.007896381668979302,0.011481428,0.9139810875058174,0.010430604219436646
