short_mean,return_mean,long_mean,rollout/ep_len_mean,rollout/ep_rew_mean,long_std,short_std,return_std,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction
0.22149175,1.0936643,-0.410243,20.0,2.4432352699999997,2.1194634,0.1995841,0.6795405,11,354,63,22528,-0.0013035386800765991,0.07887136118370108,1e-05,-3.2990380086004736,100,-0.00987110359565122,0.008578239,0.7839556634426117,0.2,0.031884765625
0.22546154,1.1525729,-0.40735972,20.0,2.6411764699999996,2.0277848,0.19503847,0.719169,12,385,63,24576,-0.00612221471965313,0.07161140614189207,1e-05,-3.220511960983276,110,-0.010137051192577929,0.011973485,0.8022396862506866,0.2,0.049853515625
0.22620763,1.113343,-0.38399893,20.0,2.55264708,2.0206757,0.20256786,0.70206636,13,416,63,26624,0.03696253523230553,0.07998644530307501,1e-05,-3.1354312181472777,120,-0.01175088555610273,0.010012803,0.795049786567688,0.2,0.063037109375
0.25650927,1.1748359,-0.40143448,20.0,2.6314705600000003,1.9041144,0.21642862,0.6939607,14,448,63,28672,0.01352299377322197,0.07479019751772284,1e-05,-3.0754842914640905,130,-0.017249979678308592,0.011790739,0.7975558340549469,0.2,0.1068359375
0.3182089,1.1539218,-0.39227417,20.0,2.6008823100000003,1.9015335,0.24996912,0.71580213,15,479,64,30720,0.04275901988148689,0.0667920297011733,1e-05,-2.9741446390748023,140,-0.011773403960978613,0.013021678,0.8202913403511047,0.2,0.066552734375
0.34957594,1.1910517,-0.40353143,20.0,2.6720587900000004,1.9340749,0.25745922,0.735727,16,510,64,32768,-0.021339282393455505,0.0652858929010108,1e-05,-2.917517926543951,150,-0.01295391099556582,0.011476422,0.8265083283185959,0.2,0.0744140625
0.35507238,1.1747993,-0.4016444,20.0,2.6523529200000002,2.0104113,0.25480646,0.7202109,17,541,64,34816,0.023425932973623276,0.08399489806615748,1e-05,-2.8996191933751105,160,-0.008531174575909971,0.008498607,0.8003866523504257,0.2,0.03056640625
0.34959102,1.2420907,-0.40690845,20.0,2.73411767,1.932123,0.26490527,0.69966453,18,571,64,36864,-0.01664431393146515,0.06589797507622279,1e-05,-2.8932975113391874,170,-0.008375676276045851,0.00905213,0.8388134092092514,0.2,0.04384765625
0.33305764,1.1729666,-0.391369,20.0,2.62441172,1.9124699,0.2571342,0.7014488,19,602,64,38912,0.013504669070243835,0.06109855246613734,1e-05,-2.850861103087664,180,-0.00645660338923335,0.010842662,0.8300543427467346,0.2,0.029248046875
0.38994697,1.1653208,-0.39725745,20.0,2.6097058399999997,1.9556177,0.26399076,0.72340375,20,633,64,40960,0.01648169569671154,0.06868149213842116,1e-05,-2.814992342144251,190,-0.010814584282343276,0.009060532,0.8205380588769913,0.2,0.05546875
0.35409844,1.2305696,-0.41402614,20.0,2.7564705599999995,1.9888626,0.26718393,0.7296702,21,663,64,43008,0.029054835438728333,0.06949329571798443,1e-05,-2.753950820118189,200,-0.005951670334616211,0.0055066566,0.8253338485956192,0.2,0.03125
0.35167187,1.1884608,-0.42519647,20.0,2.66735296,1.9905744,0.25277144,0.7345637,22,693,64,45056,0.01388988271355629,0.06762156678014435,1e-05,-2.8097529381513597,210,-0.010764908796409145,0.013048459,0.8337024748325348,0.2,0.073876953125
0.37445143,1.1753068,-0.3941575,20.0,2.63058825,1.957943,0.27339742,0.7065569,23,723,65,47104,-0.010731559246778488,0.06753164767287671,1e-05,-2.8169652082026007,220,-0.010598871466936544,0.011980476,0.8366573303937912,0.2,0.051220703125
0.3782571,1.2388389,-0.40447938,20.0,2.7664706,1.9009098,0.26405743,0.76479053,24,754,65,49152,0.008955506607890129,0.06355618225643411,1e-05,-2.834268143773079,230,-0.009236885531572625,0.0111244,0.8343690484762192,0.2,0.04990234375
